tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Sauternes,Postres,cheese platter,Cheese,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,mac and cheese,Cheese,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,beef stew,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,caprese salad,Acidic,Korean,2,Pobre,Avaluació heurística del maridatge.
Provence Rosé,Rosé,caprese salad,Acidic,German,4,Bo,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,caprese salad,Acidic,Mexicana,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,xai rostit,Carn vermella,Greek,1,Terrible,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,grilled ribeye,Carn vermella,Italian,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,xai rostit,Carn vermella,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,xai rostit,Carn vermella,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,gazpacho,Acidic,Middle Eastern,3,Neutral,El vi àcid equilibra el menjar àcid.
Torrontés,White,mac and cheese,Cheese,Espanyola,4,Bo,Avaluació heurística del maridatge.
Torrontés,White,caprese salad,Acidic,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,caprese salad,Acidic,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,gazpacho,Acidic,Espanyola,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Champagne,Sparkling,gazpacho,Acidic,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,cheese platter,Cheese,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Gamay (Beaujolais),Red,gazpacho,Acidic,Italian,3,Neutral,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,gazpacho,Acidic,Middle Eastern,3,Neutral,El vi àcid equilibra el menjar àcid.
Barbera,Red,cheese platter,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,beef stew,Carn vermella,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,carbonara,Pork,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,caprese salad,Acidic,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,caprese salad,Acidic,Korean,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,cheese platter,Cheese,German,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled ribeye,Carn vermella,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Grenache,Red,gazpacho,Acidic,Francesa,3,Neutral,El vi àcid equilibra el menjar àcid.
Sauvignon Blanc,White,xai rostit,Carn vermella,Middle Eastern,3,Neutral,Delicate wine overwhelmed by red meat.
Port,Fortified,grilled ribeye,Carn vermella,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,mac and cheese,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,fondue,Cheese,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,gazpacho,Acidic,Francesa,3,Neutral,El vi àcid equilibra el menjar àcid.
Sangiovese,Red,grilled ribeye,Carn vermella,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,mac and cheese,Cheese,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,citrus salad,Acidic,Ethiopian,1,Terrible,Low-acid wine seems flabby vs acids.
Provence Rosé,Rosé,cheese platter,Cheese,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,grilled ribeye,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,gazpacho,Acidic,Francesa,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Chenin Blanc,White,xai rostit,Carn vermella,Japanese,2,Pobre,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,gazpacho,Acidic,Thai,3,Neutral,El vi àcid equilibra el menjar àcid.
Barbera,Red,bbq brisket,Carn vermella,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,fondue,Cheese,Greek,4,Bo,Avaluació heurística del maridatge.
Torrontés,White,fondue,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,cheese platter,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,beef stew,Carn vermella,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Grenache,Red,gazpacho,Acidic,Chinese (Sichuan),5,Excel·lent,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,grilled ribeye,Carn vermella,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,xai rostit,Carn vermella,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,cheese platter,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,mac and cheese,Cheese,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Chenin Blanc,White,cheese platter,Cheese,Indian,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,cheese platter,Cheese,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,gazpacho,Acidic,Indian,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Zinfandel,Red,cheese platter,Cheese,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,caprese salad,Acidic,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Albariño,White,caprese salad,Acidic,Korean,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,citrus salad,Acidic,Japanese,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Albariño,White,caprese salad,Acidic,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Cava,Sparkling,grilled ribeye,Carn vermella,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,grilled ribeye,Carn vermella,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,caprese salad,Acidic,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Cava,Sparkling,mac and cheese,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,xai rostit,Carn vermella,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,beef stew,Carn vermella,German,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,grilled ribeye,Carn vermella,German,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,cheesecake,Postres,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,oysters,Seafood,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,oysters,Seafood,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,cheese platter,Cheese,Espanyola,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,beef stew,Carn vermella,Italian,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,gazpacho,Acidic,Japanese,4,Bo,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,mac and cheese,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,gazpacho,Acidic,Moroccan,3,Neutral,El vi àcid equilibra el menjar àcid.
Torrontés,White,citrus salad,Acidic,Vietnamita,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Champagne,Sparkling,grilled ribeye,Carn vermella,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,grilled salmon,Seafood,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,caprese salad,Acidic,Espanyola,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,grilled ribeye,Carn vermella,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,mac and cheese,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,citrus salad,Acidic,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,beef stew,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,bbq brisket,Carn vermella,Greek,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Tempranillo,Red,bbq brisket,Carn vermella,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,xai rostit,Carn vermella,Greek,3,Neutral,Delicate wine overwhelmed by red meat.
Riesling (dry),White,beef stew,Carn vermella,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Malbec,Red,gazpacho,Acidic,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,mac and cheese,Cheese,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,caprese salad,Acidic,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,beef stew,Carn vermella,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,gazpacho,Acidic,Japanese,3,Neutral,El vi àcid equilibra el menjar àcid.
Provence Rosé,Rosé,fondue,Cheese,Korean,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,citrus salad,Acidic,Mexicana,3,Neutral,El vi àcid equilibra el menjar àcid.
Sauternes,Postres,mac and cheese,Cheese,Korean,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,xai rostit,Carn vermella,Japanese,1,Terrible,Delicate wine overwhelmed by red meat.
Zinfandel,Red,caprese salad,Acidic,Italian,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,ànec a la taronja,Aviram,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,xai rostit,Carn vermella,Francesa,1,Terrible,Delicate wine overwhelmed by red meat.
Grenache,Red,cheese platter,Cheese,Japanese,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,xai rostit,Carn vermella,Vietnamita,2,Pobre,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,cheese platter,Cheese,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,cheese platter,Cheese,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,caprese salad,Acidic,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,mac and cheese,Cheese,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,citrus salad,Acidic,American BBQ,3,Neutral,El vi àcid equilibra el menjar àcid.
Albariño,White,mac and cheese,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,citrus salad,Acidic,Espanyola,3,Neutral,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,mac and cheese,Cheese,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,cheese platter,Cheese,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Port,Fortified,beef stew,Carn vermella,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,beef stew,Carn vermella,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,cheese platter,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,caprese salad,Acidic,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Sangiovese,Red,mac and cheese,Cheese,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,cheese platter,Cheese,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Malbec,Red,caprese salad,Acidic,American BBQ,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,beef stew,Carn vermella,Francesa,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,fondue,Cheese,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,mac and cheese,Cheese,Korean,4,Bo,Avaluació heurística del maridatge.
Port,Fortified,beef stew,Carn vermella,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,gazpacho,Acidic,Thai,3,Neutral,El vi àcid equilibra el menjar àcid.
White Zinfandel,Rosé,citrus salad,Acidic,Francesa,2,Pobre,Low-acid wine seems flabby vs acids.
Sauternes,Postres,bbq brisket,Carn vermella,Vietnamita,3,Neutral,Delicate wine overwhelmed by red meat.
Grenache,Red,citrus salad,Acidic,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Chenin Blanc,White,grilled ribeye,Carn vermella,German,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,grilled ribeye,Carn vermella,Francesa,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,beef stew,Carn vermella,Italian,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,mac and cheese,Cheese,American BBQ,4,Bo,Avaluació heurística del maridatge.
Port,Fortified,grilled ribeye,Carn vermella,Thai,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,gazpacho,Acidic,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,bbq brisket,Carn vermella,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Zinfandel,Red,cheese platter,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,xai rostit,Carn vermella,Vietnamita,3,Neutral,Delicate wine overwhelmed by red meat.
Malbec,Red,gazpacho,Acidic,Moroccan,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Cava,Sparkling,gazpacho,Acidic,Japanese,3,Neutral,El vi àcid equilibra el menjar àcid.
Cava,Sparkling,beef stew,Carn vermella,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,mac and cheese,Cheese,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,caprese salad,Acidic,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,mac and cheese,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,cheese platter,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,bbq brisket,Carn vermella,Ethiopian,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Tempranillo,Red,citrus salad,Acidic,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Gamay (Beaujolais),Red,citrus salad,Acidic,Korean,3,Neutral,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,xai rostit,Carn vermella,Greek,3,Neutral,Delicate wine overwhelmed by red meat.
Syrah/Shiraz,Red,gazpacho,Acidic,Ethiopian,5,Excel·lent,El vi àcid equilibra el menjar àcid.
White Zinfandel,Rosé,caprese salad,Acidic,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Provence Rosé,Rosé,caprese salad,Acidic,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Tempranillo,Red,cheese platter,Cheese,German,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,xai rostit,Carn vermella,Japanese,5,Excel·lent,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,beef stew,Carn vermella,Greek,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,grilled ribeye,Carn vermella,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,caprese salad,Acidic,Japanese,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,mac and cheese,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,xai rostit,Carn vermella,Japanese,3,Neutral,Delicate wine overwhelmed by red meat.
Madeira,Fortified,gazpacho,Acidic,American BBQ,3,Neutral,El vi àcid equilibra el menjar àcid.
Cava,Sparkling,gazpacho,Acidic,German,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Sauternes,Postres,mac and cheese,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,caprese salad,Acidic,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,fondue,Cheese,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,beef stew,Carn vermella,Japanese,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,fondue,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,cheese platter,Cheese,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,mac and cheese,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,cheese platter,Cheese,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,fondue,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,mushroom risotto,Vegetarian,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,chocolate mousse,Postres,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,xai rostit,Carn vermella,Italian,3,Neutral,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,beef stew,Carn vermella,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Tempranillo,Red,fondue,Cheese,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,fondue,Cheese,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,citrus salad,Acidic,Vietnamita,3,Neutral,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,xai rostit,Carn vermella,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,gazpacho,Acidic,Moroccan,3,Neutral,El vi àcid equilibra el menjar àcid.
Viognier,White,beef stew,Carn vermella,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,citrus salad,Acidic,Japanese,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Sauvignon Blanc,White,caprese salad,Acidic,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,bbq brisket,Carn vermella,Middle Eastern,1,Terrible,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,fondue,Cheese,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,xai rostit,Carn vermella,Japanese,3,Neutral,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,fondue,Cheese,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Tempranillo,Red,cheese platter,Cheese,Thai,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,caprese salad,Acidic,German,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,fondue,Cheese,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,citrus salad,Acidic,Thai,4,Bo,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,mac and cheese,Cheese,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Tempranillo,Red,mac and cheese,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,fondue,Cheese,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Tempranillo,Red,citrus salad,Acidic,Moroccan,3,Neutral,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,bbq brisket,Carn vermella,Francesa,3,Neutral,Delicate wine overwhelmed by red meat.
Riesling (dry),White,mac and cheese,Cheese,Korean,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,mac and cheese,Cheese,Japanese,2,Pobre,Avaluació heurística del maridatge.
Provence Rosé,Rosé,mac and cheese,Cheese,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,grilled ribeye,Carn vermella,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,cheese platter,Cheese,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,fondue,Cheese,American BBQ,4,Bo,Avaluació heurística del maridatge.
Chenin Blanc,White,citrus salad,Acidic,German,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,cheese platter,Cheese,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,mac and cheese,Cheese,Korean,4,Bo,Avaluació heurística del maridatge.
Viognier,White,grilled ribeye,Carn vermella,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,mac and cheese,Cheese,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,beef stew,Carn vermella,German,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,mac and cheese,Cheese,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,caprese salad,Acidic,German,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,grilled ribeye,Carn vermella,Thai,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Indian,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,caprese salad,Acidic,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,xai rostit,Carn vermella,German,1,Terrible,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,bbq brisket,Carn vermella,Ethiopian,3,Neutral,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Gamay (Beaujolais),Red,fondue,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,cheese platter,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Barbera,Red,citrus salad,Acidic,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Riesling (dry),White,cheese platter,Cheese,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,ànec a la taronja,Aviram,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,mac and cheese,Cheese,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Chenin Blanc,White,mac and cheese,Cheese,German,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,mac and cheese,Cheese,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,citrus salad,Acidic,Francesa,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,citrus salad,Acidic,German,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,cheese platter,Cheese,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,mac and cheese,Cheese,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,gazpacho,Acidic,Mexicana,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Viognier,White,grilled ribeye,Carn vermella,German,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,gazpacho,Acidic,Espanyola,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,caprese salad,Acidic,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,grilled ribeye,Carn vermella,Greek,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,grilled ribeye,Carn vermella,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,chocolate mousse,Postres,Francesa,3,Neutral,Dry table wine clashes with dessert sweetness.
Ice Wine,Postres,gazpacho,Acidic,Middle Eastern,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Sauvignon Blanc,White,mac and cheese,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,caprese salad,Acidic,German,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,fondue,Cheese,Korean,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,beef stew,Carn vermella,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,oysters,Seafood,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
Zinfandel,Red,beef stew,Carn vermella,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,sorbet,Postres,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,beef stew,Carn vermella,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Port,Fortified,grilled ribeye,Carn vermella,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,caprese salad,Acidic,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Barbera,Red,bbq brisket,Carn vermella,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,grilled ribeye,Carn vermella,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,fondue,Cheese,Thai,2,Pobre,Avaluació heurística del maridatge.
Chenin Blanc,White,citrus salad,Acidic,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,xai rostit,Carn vermella,Japanese,1,Terrible,Delicate wine overwhelmed by red meat.
Riesling (dry),White,beef stew,Carn vermella,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,cheese platter,Cheese,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Chardonnay,White,grilled ribeye,Carn vermella,Italian,4,Bo,Avaluació heurística del maridatge.
Provence Rosé,Rosé,cheese platter,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,cheese platter,Cheese,Argentinian,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,fish tacos,Seafood,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,bbq brisket,Carn vermella,Francesa,2,Pobre,Delicate wine overwhelmed by red meat.
White Zinfandel,Rosé,beef stew,Carn vermella,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,fondue,Cheese,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Malbec,Red,citrus salad,Acidic,Korean,3,Neutral,El vi àcid equilibra el menjar àcid.
Provence Rosé,Rosé,grilled ribeye,Carn vermella,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,caprese salad,Acidic,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Cava,Sparkling,mac and cheese,Cheese,Argentinian,4,Bo,Avaluació heurística del maridatge.
White Zinfandel,Rosé,mac and cheese,Cheese,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,bbq brisket,Carn vermella,Middle Eastern,1,Terrible,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,cheesecake,Postres,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Torrontés,White,mac and cheese,Cheese,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
